id,level,word,word_reading,meaning,sentence_jp,sentence_en
JLPT Tango N1 item 0102,N1,隅に置けない,隅[すみ]に 置[お]けない,not to be underestimatedある人が、思っていたよりもすぐれていたり、世の中のことをよく知っていたりして、ばかにできない。,恋愛に関しては、弟は隅に置けないタイプだ。,My younger brother is not to be underestimated when it comes to matters of love.
JLPT Tango N1 item 0103,N1,張り合う,張[は]り 合[あ]う,to compete; to contend for; to rival,弟を巡って、三人の女の子が張り合っている。,Three girls are fighting over my younger brother.
JLPT Tango N1 item 0104,N1,有頂天,有頂天[うちょうてん],ecstatic,弟は可愛い彼女ができて、有頂天になっている。,My younger brother is ecstatic about his new girlfriend.
JLPT Tango N1 item 0105,N1,揃い,揃[そろ]い,matching一〘名〙1そろっていること。欠けたところがないこと。また、そのもの。「全巻―の文学全集」2衣服の色や柄などが同じであること。「帽子と―のマフラー」二〘接尾〙1助数詞。ひと組になっているものを数えるのに用いる。「百科事典ひと―」2《連濁により「ぞろい」とも》名詞に付いて、全体がそればかりであることを表す。「秀才―」 「力作―」,二人でお揃いのリングを買った。,The two bought matching rings.
JLPT Tango N1 item 0106,N1,冷やかす,冷[ひ]やかす,to banter; to make fun of; to jeer at;tease❶からかう。みんなに冷やかされる。❷買う気もないのに品物を見たり、ねだんを聞いたりする。&nbsp;夜店を冷やかして歩く。,彼と一緒のところを同僚に見られ、冷やかされた。,I was teased by my co-workers when they saw me with my boyfriend.
JLPT Tango N1 item 0107,N1,物好き,物好[ものず]き,"""having strange tastes① 風変わりで特殊なことを好むこと。好奇心の強いこと。また，その人やさま。「―にも雨の中を出かける」「―な人」「あいつもよほどの―だ」② 物事に趣向を凝らす・こと（さま）。「―な座敷へ通され」〈夜明け前•藤村〉③ 趣味。好み。「夫はそなたの―が能らう」〈狂言・棒縛•虎寛本〉""",物好きと言われても、私は彼が大好きだ。,"Even though other people think he has strange tastes, I like him."
JLPT Tango N1 item 0108,N1,外方を向く,外方[そっぽ]を 向[む]く,turn away,彼女は怒って、外方を向いた。,She got mad and looked away.
JLPT Tango N1 item 0109,N1,束縛,束縛[そくばく],restraint; restriction;&nbsp;constrain,結婚しても、彼に束縛されたくない。,"I don’t want to be tied down by him, even if we get married."
JLPT Tango N1 item 0110,N1,嫉妬,嫉妬[しっと],jealousy; envy,彼は私が他の人と話しているだけで嫉妬する。,He gets jealous when he sees me even talking with someone else.
JLPT Tango N1 item 0111,N1,浮気,浮気[うわき],infidelity,浮気は絶対に許さない。,I will never forgive infidelity.
JLPT Tango N1 item 0112,N1,発覚,発覚[はっかく],being revealed; being uncovered,浮気が発覚したら、すぐに彼と別れるつもりだ。,I will break up with my boyfriend the moment I find out he is unfaithful.
JLPT Tango N1 item 0113,N1,弁解,弁解[べんかい],explanation (for one's actions); excuse; justification,彼女のどんな弁解にも耳を傾けるつもりはない。,I have no intentions of listening to her excuses.
JLPT Tango N1 item 0114,N1,未練,未練[みれん],lingering affection,別れた彼に少しも未練はない。,I have no feelings left for my ex-boyfriend.
JLPT Tango N1 item 0115,N1,ぽっかり,ぽっかり,gaping&nbsp;wide；gaping❶口やあななどが大きくあくようす。❷軽くうかぶようす。,振られてから心にぽっかり穴が空いたままだ。,I feel empty inside after being dumped.
